operation,start_ns,end_ns,duration_ns,label
key_generation,4671367976790,4671367991534,14744,after
encapsulation,4671367992989,4671368176179,183190,after
decapsulation,4671368177141,4671368191322,14181,after
key_generation,4671368192528,4671368204422,11894,after
encapsulation,4671368207693,4671368221461,13768,after
decapsulation,4671368222616,4671368237510,14894,after
key_generation,4671368238628,4671368251696,13068,after
encapsulation,4671368252661,4671368266551,13890,after
decapsulation,4671368267410,4671368282214,14804,after
key_generation,4671368283359,4671368295990,12631,after
encapsulation,4671368296893,4671368310618,13725,after
decapsulation,4671368311546,4671368326400,14854,after
key_generation,4671368327562,4671368341334,13772,after
encapsulation,4671368342307,4671368356478,14171,after
decapsulation,4671368357407,4671368373262,15855,after
key_generation,4671368374312,4671368387149,12837,after
encapsulation,4671368388016,4671368401558,13542,after
decapsulation,4671368402557,4671368417360,14803,after
key_generation,4671368419513,4671368432150,12637,after
encapsulation,4671368433024,4671368447142,14118,after
decapsulation,4671368448032,4671368461206,13174,after
key_generation,4671368462083,4671368474074,11991,after
encapsulation,4671368474973,4671368488288,13315,after
decapsulation,4671368489150,4671368503977,14827,after
key_generation,4671368504928,4671368517766,12838,after
encapsulation,4671368518950,4671368532399,13449,after
decapsulation,4671368533302,4671368548044,14742,after
key_generation,4671368549016,4671368561525,12509,after
encapsulation,4671368562419,4671368575742,13323,after
decapsulation,4671368576638,4671368591261,14623,after
key_generation,4671368592239,4671368605674,13435,after
encapsulation,4671368606586,4671368619982,13396,after
decapsulation,4671368620846,4671368635541,14695,after
key_generation,4671368636671,4671368649063,12392,after
encapsulation,4671368649911,4671368663202,13291,after
decapsulation,4671368664109,4671368678993,14884,after
key_generation,4671368680087,4671368692669,12582,after
encapsulation,4671368693524,4671368706911,13387,after
decapsulation,4671368707802,4671368722548,14746,after
key_generation,4671368723555,4671368735992,12437,after
encapsulation,4671368736844,4671368750118,13274,after
decapsulation,4671368751189,4671368765938,14749,after
key_generation,4671368766996,4671368779809,12813,after
encapsulation,4671368780682,4671368793986,13304,after
decapsulation,4671368794876,4671368809551,14675,after
key_generation,4671368810508,4671368823076,12568,after
encapsulation,4671368823965,4671368837409,13444,after
decapsulation,4671368838306,4671368853102,14796,after
key_generation,4671368854034,4671368866444,12410,after
encapsulation,4671368867341,4671368880829,13488,after
decapsulation,4671368881723,4671368896397,14674,after
key_generation,4671368897338,4671368909842,12504,after
encapsulation,4671368910706,4671368924519,13813,after
decapsulation,4671368925565,4671368940368,14803,after
key_generation,4671368941333,4671368953753,12420,after
encapsulation,4671368954639,4671368968064,13425,after
decapsulation,4671368968953,4671368983690,14737,after
key_generation,4671368984750,4671368997182,12432,after
encapsulation,4671368998068,4671369014624,16556,after
decapsulation,4671369015537,4671369030248,14711,after
key_generation,4671369032127,4671369044671,12544,after
encapsulation,4671369045547,4671369058821,13274,after
decapsulation,4671369059844,4671369074884,15040,after
key_generation,4671369075950,4671369088639,12689,after
encapsulation,4671369089510,4671369103096,13586,after
decapsulation,4671369104438,4671369119034,14596,after
key_generation,4671369119871,4671369131047,11176,after
encapsulation,4671369131875,4671369143680,11805,after
decapsulation,4671369144537,4671369157722,13185,after
key_generation,4671369158526,4671369169580,11054,after
encapsulation,4671369170325,4671369182057,11732,after
decapsulation,4671369182844,4671369196014,13170,after
key_generation,4671369196887,4671369208061,11174,after
encapsulation,4671369208813,4671369221404,12591,after
decapsulation,4671369222178,4671369235221,13043,after
key_generation,4671369236069,4671369247093,11024,after
encapsulation,4671369247923,4671369259704,11781,after
decapsulation,4671369260770,4671369274033,13263,after
key_generation,4671369274911,4671369286399,11488,after
encapsulation,4671369287168,4671369299043,11875,after
decapsulation,4671369299827,4671369312903,13076,after
key_generation,4671369313769,4671369324980,11211,after
encapsulation,4671369325784,4671369337650,11866,after
